"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
5.82976892140723,-0.266062533384324,2.95958456327854e-10,2.66907797325146e-08,"Clec7a","GSE104036","Mouse"
-0.76903016238115,8.70684715064873,3.02222860833698e-10,2.71130299496618e-08,"Nell2","GSE104036","Mouse"
0.829911599795363,4.58292337629389,3.17515678692525e-10,2.83366205958147e-08,"Zfp516","GSE104036","Mouse"
12.3584803246001,3.0466624021292,3.20436229558267e-10,2.84490921942016e-08,"Mmp3","GSE104036","Mouse"
-0.776824199679952,7.15180325350855,3.34944338065446e-10,2.95838723337702e-08,"Plcxd2","GSE104036","Mouse"
11.5053086177623,2.190440857703,3.37785583883828e-10,2.96818255376892e-08,"Il1rn","GSE104036","Mouse"
0.994887543514037,3.50359525937709,3.63147445328644e-10,3.17476095699302e-08,"Ptrf","GSE104036","Mouse"
0.745783293972372,6.45751451931965,3.67401609632892e-10,3.19564801069016e-08,"Sec61a1","GSE104036","Mouse"
1.75919989550449,1.48421973707676,3.91943004893618e-10,3.39189060043037e-08,"Slco2a1","GSE104036","Mouse"
6.92326902435696,-2.07388916689595,4.09030711416422e-10,3.52198052267356e-08,"Pyhin1","GSE104036","Mouse"
1.00343292870171,4.17358870224234,4.23922930490449e-10,3.63195970697692e-08,"Dusp16","GSE104036","Mouse"
3.65126504832793,0.667280339255452,4.54946676794498e-10,3.87836383426553e-08,"Tlr1","GSE104036","Mouse"
-1.41282363238652,2.4374676443015,5.03464922220495e-10,4.27072843675653e-08,"Myl9","GSE104036","Mouse"
-0.873129611424197,4.39984525719825,5.415997688638e-10,4.57158228545873e-08,"Fsd1","GSE104036","Mouse"
1.96213594666223,0.573222288765742,5.62715305432319e-10,4.72653272479548e-08,"Zbtb42","GSE104036","Mouse"
1.73007108539862,1.70733593102103,6.58220648330312e-10,5.50176137031215e-08,"Igsf6","GSE104036","Mouse"
-1.18096445482809,3.15875293833757,6.74320268442235e-10,5.60896980570762e-08,"Fzd2","GSE104036","Mouse"
-0.760278661207631,7.85085885730195,6.87279344294748e-10,5.68914568332875e-08,"Plcb1","GSE104036","Mouse"
1.5865002347365,2.84291206422104,7.00670316582768e-10,5.77210859357968e-08,"Maff","GSE104036","Mouse"
-0.792610576750902,8.70298108427501,7.27046423332146e-10,5.96073706401738e-08,"Clstn3","GSE104036","Mouse"
3.64835521126741,4.87773670287856,7.50714048960779e-10,6.10586093325737e-08,"Tnc","GSE104036","Mouse"
7.79455147890249,1.99818807259973,7.51874325600995e-10,6.10586093325737e-08,"Mmp12","GSE104036","Mouse"
-0.839899071619226,6.71008340410163,7.61156527549747e-10,6.15208353753062e-08,"Plxnd1","GSE104036","Mouse"
7.88631920452201,-1.29249391871315,8.18778432907839e-10,6.58674575017644e-08,"Irg1","GSE104036","Mouse"
-0.86689375958559,5.68150731847404,8.42470985555479e-10,6.74567305490334e-08,"Bcl11b","GSE104036","Mouse"
-0.776551465338374,5.69307510769521,8.97592131791004e-10,7.15360054801807e-08,"Plch2","GSE104036","Mouse"
-0.812279697279256,7.06727426380677,9.86760738025885e-10,7.82784502133034e-08,"Cck","GSE104036","Mouse"
-0.875334181664273,5.42748703553195,1.00063727654015e-09,7.90134549931586e-08,"Cpne4","GSE104036","Mouse"
