"Name","Score","Gene"
"1389103_at",0.00538869495221405,"1389103_at"
"1397304_at",0.00538869495221405,"1397304_at"
"ILMN_1703074",0.00539261808671001,"ILMN_1703074"
"ILMN_6380427",0.00539261808671001,"ILMN_6380427"
"1369698_at",0.00541513173650737,"1369698_at"
"1367576_at",0.00543279144899433,"1367576_at"
"1371300_at",0.00544163186102869,"1371300_at"
"1382692_at",0.00545933379485166,"1382692_at"
"1369879_a_at",0.00547706387257706,"1369879_a_at"
"1370073_at",0.00553042293993027,"1370073_at"
"1371375_at",0.00554826556402842,"1371375_at"
"1374422_at",0.005584035197155,"1374422_at"
"ILMN_1794875",0.00559223991139953,"ILMN_1794875"
"ILMN_3360468",0.00559223991139953,"ILMN_3360468"
"1368006_at",0.00559299518349895,"1368006_at"
"1377759_at",0.00561093624730394,"1377759_at"
"1367606_at",0.00563790056532361,"1367606_at"
"1369387_at",0.00569201896551754,"1369387_at"
"1374306_at",0.00569201896551754,"1374306_at"
"1384714_x_at",0.00571917302796445,"1384714_x_at"
"1386874_at",0.00573731086376896,"1386874_at"
"1389303_at",0.00573731086376896,"1389303_at"
"1372500_at",0.00575547679816949,"1372500_at"
"1385397_at",0.00576457030143012,"1385397_at"
"ILMN_2263718",0.00579185425424536,"ILMN_2263718"
"ILMN_4390121",0.00579185425424536,"ILMN_4390121"
"1373877_at",0.0058467278468441,"1373877_at"
"1371239_s_at",0.00586506231146129,"1371239_s_at"
"1370883_at",0.00589261665399399,"1370883_at"
"1373233_at",0.00590181547220608,"1373233_at"
"1393347_at",0.0059664036853538,"1393347_at"
"1370376_a_at",0.0059664036853538,"1370376_a_at"
"1377058_at",0.00597565863794537,"1377058_at"
"ILMN_1752927",0.00599146111543443,"ILMN_1752927"
"ILMN_1470332",0.00599146111543443,"ILMN_1470332"
"1374070_at",0.00599146111543443,"1374070_at"
"1398917_at",0.00602203862091879,"1398917_at"
"1373975_at",0.00602203862091879,"1373975_at"
"1398347_at",0.00603133565896113,"1398347_at"
"1384112_at",0.00604063970996756,"1384112_at"
"1382043_at",0.00604995077357305,"1382043_at"
"1388449_at",0.00604995077357305,"1388449_at"
"1393638_at",0.00608726514668505,"1393638_at"
"1387946_at",0.00613406585275223,"1387946_at"
"1388519_at",0.00614344702227275,"1388519_at"
"1382727_at",0.00614344702227275,"1382727_at"
"1388431_at",0.00615283520037736,"1388431_at"
"1398854_at",0.00618104178254636,"1398854_at"
"ILMN_1796976",0.00619106049515371,"ILMN_1796976"
"ILMN_2650523",0.00619106049515371,"ILMN_2650523"
"1369554_at",0.00619988120688891,"1369554_at"
"1379542_at",0.00622819289044912,"1379542_at"
"1367690_at",0.00624710237326297,"1367690_at"
"1373959_at",0.00628500539081166,"1373959_at"
"1380621_at",0.00630399891970867,"1380621_at"
"1393162_at",0.00630399891970867,"1393162_at"
"1393240_at",0.00631350618791086,"1393240_at"
"1367936_at",0.00632302045812905,"1367936_at"
"1370190_at",0.00633254172999843,"1370190_at"
"1367582_at",0.00634207000315416,"1367582_at"
"1398369_at",0.00635160527723145,"1398369_at"
