OriginalID,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,Dataset,Species
1390542_at,Rad51c,0.350744016185369,6.83250764560546,0.0158892421249135,0.0348451830507499,GSE61616,Rat
1377902_a_at,Rad52,0.0102889565293719,6.73996931223867,0.899415413592228,0.92432239342073,GSE61616,Rat
1393655_at,Rad54l,0.562956511947454,5.0710589070306,0.0007843567930879,0.0030967007627577,GSE61616,Rat
1376769_at,Rad54l2,-0.111430483510471,6.60485480072046,0.18815165225571,0.266005738668924,GSE61616,Rat
1384876_at,Rad9b,0.348670847115496,4.74050282866206,0.0008796509401036,0.003392056106298,GSE61616,Rat
1374309_at,Radil,-0.298775140522842,6.76910509516792,0.0232709677790536,0.047568280988615,GSE61616,Rat
1395465_at,Rae1,-0.344384401679463,5.76370415714299,0.0091086480155719,0.0220494936277942,GSE61616,Rat
1369932_a_at,Raf1,0.182890087210563,9.66512743207656,0.0343268461253467,0.0654806224407873,GSE61616,Rat
1373966_at,Rai1,-0.506526268771792,8.94398427440853,7.58083539200789e-06,9.82372507677427e-05,GSE61616,Rat
1389263_at,Rai14,2.04698074262093,7.6488502807978,4.62632403383519e-06,6.88392589130338e-05,GSE61616,Rat
1368405_at,Rala,0.281114270512189,8.70812286873343,0.0049545205328522,0.0134251663371239,GSE61616,Rat
1387001_at,Ralb,0.785425174350401,8.8442011675912,1.02489738657929e-05,0.0001227311660578,GSE61616,Rat
1368218_at,Ralbp1,-0.0678903541252576,4.51772879801197,0.203486919504019,0.283430228544493,GSE61616,Rat
1387405_at,Ralgapa1,-0.697430837036652,7.61518508936778,1.30453154375584e-06,2.69691628754654e-05,GSE61616,Rat
1376882_at,Ralgapb,-0.424582408134899,10.1357603181677,8.9723876712848e-06,0.000111345684034,GSE61616,Rat
1367825_at,Ralgds,-0.111508478766186,7.89026031140279,0.232919749894961,0.31577537390398,GSE61616,Rat
1396036_at,Ralgps2,-0.218764792002618,6.43801281371488,0.0867969056925977,0.141317049899696,GSE61616,Rat
1388363_at,Raly,0.332728783824352,8.66546154679001,0.0008949710390994,0.0034386835118549,GSE61616,Rat
1380852_at,Ralyl,-0.963413042145142,9.91565322561151,9.24331039264191e-05,0.0006181886234425,GSE61616,Rat
1367791_at,Ramp1,-0.686091884256063,9.56069278812078,0.0029067628524868,0.0087340500434289,GSE61616,Rat
1367701_at,Ramp2,0.578358185181193,8.52742347680358,0.0059634174789225,0.015591115609669,GSE61616,Rat
1387389_at,Ramp3,-0.737964382384492,6.10743678694223,0.003041582612777,0.0090490938175406,GSE61616,Rat
1367590_at,Ran,0.168415617672322,12.148859506005,0.0020448218439471,0.0065966716312149,GSE61616,Rat
1375427_at,Ranbp1,-0.0324246758463089,6.00436409540779,0.767951094174263,0.819161710986748,GSE61616,Rat
1390577_at,Ranbp10,-0.152636814543813,9.06026647723593,0.0297228227266165,0.0581461951295871,GSE61616,Rat
