gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Ndufa8,-0.33830574883714387,2.9744766359183448e-05,0.7595806815253268,0.9603158321292957,False
Sh3glb1,-0.26561726188588747,2.988725678306583e-05,0.7547673482653772,0.9073437817086071,False
Gm561,0.2798784743582658,3.017425829266218e-05,1.986697386740897,1.6363639553164075,False
Ptgs1,-0.35398658197592175,3.117545405022893e-05,1.4733773772038699,1.8831051733491726,False
Cept1,0.17668400874826112,3.1400738137560966e-05,1.5292327180504355,1.3529644794031104,False
Zfos1,0.780166337609712,3.412883258830505e-05,1.6085100119782643,0.936634820669955,False
Spats2l,0.40941202551547945,3.5113909297116824e-05,5.162074717167253,3.8866817944771084,False
Bbs5,0.59416544375518,3.614619730341219e-05,5.732633850226471,3.7974545336706003,False
Arl4c,0.014642517858082656,4.00111972934847e-05,2.633933662869635,2.6073359678617223,False
Bex4,0.0,4.1216998730492425e-05,0.0,7.3284518756620685,False
Angptl2,0.0,4.12223516898973e-05,0.0,5.075386960248505,False
Tmsb15l,0.0,4.12223516898973e-05,0.0,4.576278548407268,False
Gar1,0.4202913065501239,4.389695117731625e-05,2.318398466746514,1.732478248619568,False
Slc1a2,0.4847759263998004,4.547612219435094e-05,1.1256119208735382,0.8043713413006053,False
Arpc5,0.03306072585967628,4.9389679421350734e-05,0.9219007047151643,0.9010147005611892,False
Gclm,0.07611200601235606,5.0105809723301825e-05,1.147018743103263,1.0880742130362733,False
Pnrc1,0.27696937883671935,5.247555385246255e-05,0.9361561610097501,0.7726311417948775,False
Abca2,0.25765841815821,5.367081988340331e-05,2.968158106085468,2.4826992810030655,False
Pla2g4a,-0.24853582122454848,5.5010213915947026e-05,2.4398904373546513,2.898591818762661,False
Celf2,-0.25586749010272974,5.5705437770844195e-05,1.4680223202814784,1.7528972036770143,False
Pygb,0.39889975908119074,5.58990863274175e-05,2.3414611859351613,1.7758495525677183,False
Fundc1,0.4085082920936519,5.610007784166027e-05,2.078265169461842,1.5657690697464035,True
Sdc4,1.3749057047318998,5.760364549585959e-05,2.1083494852191813,0.8129329819312199,False
Cybb,0.7934694781413588,5.849770865584471e-05,3.240053297873133,1.8693647139674339,True
Ebp,0.2704527598496718,5.973982508072735e-05,1.5630120813570076,1.295829736367764,False
Slc25a14,0.040090541480341635,6.093878935490734e-05,3.0640696304236648,2.9800954528439134,False
Ncf2,0.11766209716233045,6.105651047631689e-05,2.0198513137316705,1.8616566265030443,False
S1pr1,0.05111327284455043,6.234899671817502e-05,1.1711460591722285,1.1303799172434064,False
AI607873,0.37522047907240896,6.249495485080232e-05,3.520632890365124,2.7143642249923836,False
Fam73a,1.0062148477647093,6.28777486635385e-05,6.410685982784396,3.191564699771584,False
Idh1,0.4171497489893444,6.712077751775818e-05,2.311299221949438,1.7309382937093356,True
Soat1,0.5733645126792399,7.048640994280029e-05,2.6515194651253755,1.7819474928920667,False
Tlr7,0.09888761076147094,7.275723606892073e-05,3.045611228103382,2.8438476572872418,False
Rragd,0.0,7.386644081695161e-05,0.0,4.735463917865329,False
Vim,0.30716903404139906,7.69679441269509e-05,0.8634860443833363,0.69789201596148,False
Dpp7,0.3851725638459782,7.938809457569129e-05,3.38518584784735,2.5919941759391936,False
Rap2b,-0.07968565131286577,8.444573286335883e-05,3.093176763606715,3.2688313188269476,False
Shisa4,1.12894829506222,8.583784221611205e-05,3.287170900289591,1.503055383002152,False
Sdpr,0.19784193120721932,8.862164189830897e-05,1.0631847688657572,0.9269416371485605,False
Smim8,0.3388185775808821,8.898874751024647e-05,2.7742277557312125,2.193550097591673,False
Ogfrl1,-0.16466047928554187,9.217453719110206e-05,2.457898912090971,2.755064436285653,False
Serinc3,-0.6375762959218755,9.4684733979287e-05,0.5102842679059767,0.7938560681116671,False
Cd44,2.194603591521706,9.914237898825286e-05,3.470817715203789,0.7582113753473396,False
Mccc1,0.5455384723924465,9.933277953816226e-05,3.9562257681205297,2.710551251122404,False
Nek7,0.4176660979933729,0.00010440517986543625,1.9107707860421135,1.4304693902123953,False
Klf4,-0.22377269548898007,0.00010761010692401198,0.8613177477099638,1.0058325588093815,False
Gem,1.1798299177869074,0.00010945939071406264,3.583420154776075,1.5817343166354147,False
Fap,0.4478053061087105,0.00010978073103374212,9.38795747340172,6.882849672132564,False
Arid5a,1.0419447217609414,0.00011364768848661575,2.631091732677348,1.277848521752724,False
Bmp7,0.6070473852309458,0.00011425400158490311,7.491875753735051,4.918708603302921,False
Gm19426,0.6765948760548172,0.0001173148902294148,10.0,6.256402017422766,False
Tmem55a,0.2489897343905562,0.00012298362969046886,2.6150182825101385,2.200499888306857,False
Mospd1,0.21867501313457904,0.00012586525377028255,1.481717595708528,1.2733204087474719,False
Fam92a,0.38543464811327127,0.00012728004954471296,2.7202432676182577,2.0824776720635767,False
Sp110,-0.16165583917632959,0.00014201652248411664,2.305363774991404,2.578711287301433,False
Mtx2,0.3691694053019803,0.00014230226875017166,2.182292840878858,1.6895924627013568,False
Ccdc109b,-0.4743523158590803,0.00015411563794309296,3.008282706344683,4.179390225478439,False
Mfsd1,0.04155679925049997,0.000169533313953972,1.9589819804275284,1.9033585095260261,False
Pgk1,-0.20412686550388284,0.00017087965466365974,1.4681242555268486,1.6912629045192544,False
Maob,0.3356386646054956,0.00017124725459258673,3.9815979893928213,3.155150666003534,False
Hnmt,0.6626820055132832,0.00017547307591450604,4.060216837214397,2.5648505623650824,False
Ndufaf6,0.5534591668927414,0.00017679401122170846,5.116439745731964,3.486262250588862,False
Mnda,1.413575904245017,0.00017821248449465836,3.7514113192885463,1.408205175640501,False
Rnf128,1.0026684628722302,0.00018263695658138842,4.17038611119751,2.0813397689846593,False
Cfp,0.9868994423137212,0.000183315126101125,3.091474942413886,1.5598376397023206,False
Gba,0.4770969536483585,0.00018471199253464003,2.291175504907327,1.646030445112824,False
Rpl7a,0.3008195593382506,0.00018849870097724974,0.778059542938369,0.6316218176065131,False
Gpc4,0.1837688478117436,0.00019733757183285704,5.265224626178351,4.635504088127902,False
Rab7b,0.31713994027608006,0.00020635128793913512,4.170319842776291,3.3473469549498187,False
Whrn,1.0844329428197805,0.00020798718151441862,6.9834946353808,3.2932595492165424,False
Scnm1,0.5019394233452658,0.00021720196344582622,2.6531041545130942,1.8735076779470692,False
Zbp1,0.15142408080307468,0.00022194191018737569,2.4976361167418575,2.248774849484215,False
