"pathway_name","source","target","prob","n_interactions"
"Glutamate","Glutamatergic 5","OLIGO",175.940441933434,344
"Glutamate","Glutamatergic 7","ASTRO",174.865150972394,368
"Glutamate","Glutamatergic 8","OLIGO",174.569268099019,344
"Glutamate","OLIGO","GABAergic 3",171.39406993733,360
"Glutamate","ASTRO","Glutamatergic 8",169.996795346532,273
"Glutamate","Glutamatergic 5","ASTRO",169.885820205022,360
"Glutamate","Glutamatergic 8","ASTRO",168.557731345573,360
"Glutamate","OLIGO","GABAergic 2",167.556617780281,360
"Glutamate","OLIGO","Glutamatergic 7",166.896099469395,328
"Glutamate","ASTRO","Glutamatergic 2",166.577193857814,281
"Glutamate","OLIGO","Glutamatergic 4",165.812057479904,336
"Glutamate","Neuro 1","NB",162.74392594727,337
"Glutamate","OLIGO","Glutamatergic 5",162.352140624321,344
"Glutamate","OLIGO","Glutamatergic 9",162.334965715617,344
"Glutamate","ASTRO","GABAergic 3",162.029453165781,273
"Glutamate","GABAergic 2","NB",161.862248598944,336
"Glutamate","Neuro 1","OLIGO",161.066761892365,361
"Glutamate","OLIGO","Neuro 1",160.54078640642,368
"Glutamate","GABAergic 2","OLIGO",160.159045904129,360
"Glutamate","OLIGO","GABAergic 6",158.522980649086,368
"Glutamate","OLIGO","Glutamatergic 1",158.49107245649,368
"Glutamate","ASTRO","GABAergic 2",158.337527720221,273
"Glutamate","ASTRO","Glutamatergic 7",158.04758297395,272
"Glutamate","ASTRO","Glutamatergic 4",156.692408907466,257
"Glutamate","Neuro 1","ASTRO",155.45253308365,369
"Glutamate","GABAergic 2","ASTRO",154.564888942628,368
"Glutamate","ASTRO","Glutamatergic 5",153.614655398967,273
"Glutamate","ASTRO","Glutamatergic 9",153.322937217336,249
"Glutamate","ASTRO","Neuro 1",151.661220494872,273
"Glutamate","MG","OPC",150.488817290346,336
"Glutamate","OLIGO","GABAergic 4",150.258677649422,352
